name,address,gmap_id,latitude,longitude,category,hours,time,rating,text,has_email,has_phone,has_telegram,has_whatsapp,has_dm_request
Sommers Chiropractic,"Sommers Chiropractic, 4 Market St, South Burlington, VT 05403",0x4cca7a316dc83971:0x41d7427b111323f1,44.4661056,-73.1791389,['Chiropractor'],"[['Tuesday', '3–6PM'], ['Wednesday', '10AM–12PM'], ['Thursday', '10AM–1PM'], ['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '10AM–1PM']]",2020-12-17 11:29:57 EST,5.0,"I have been under Dr. Michael Sommers Care since 2014-2015. For a year and a half after my horrific accident with an 18 wheeler, I was hunched over, right side of body was crippled. I shuddered, I could not use my right arm! His staff helped me fill out the initial paperwork. Today 2020, my entire life has changed. I have mobility beyond my imagination. My headaches went away. My immune system is healthy, my stuttering disappeared. I’m able to walk my dog. I could go on and on the blessings I have received from Sommers Chiropractic! I am so grateful for you and your staff. With great admiration, Brigitte [herb][hibiscus][herb]",False,True,False,False,False
T&T Nails Spa,"T&T Nails Spa, 73 Prim Rd, Colchester, VT 05446",0x4cca6e31840daf37:0x98ebd4c30d0696c0,44.5507278,-73.23377219999999,['Nail salon'],"[['Monday', '9AM–7PM'], ['Tuesday', '9AM–7PM'], ['Wednesday', '9AM–7PM'], ['Thursday', '9AM–7PM'], ['Friday', '9AM–7PM'], ['Saturday', '9AM–6PM'], ['Sunday', '10AM–4PM']]",2021-04-23 18:17:15 EDT,2.0,My appointment was at 4 pm. I didn't end up leaving until 6 pm. A different woman ended up finishing my nails because the first woman who started doing them kept messing up and walking away. They kept telling me they didn't have the color I wanted multiple times on multiple simple pink colors. This was my first time here and probably my last,False,False,False,False,True
Mad River Massage,"Mad River Massage, 5677 Main St, Waitsfield, VT 05673",0x4cb572de94931eed:0x7daa91b45486ff30,44.1788412,-72.8361819,['Massage therapist'],"[['Monday', '10AM–5PM'], ['Tuesday', 'Closed'], ['Wednesday', 'Closed'], ['Thursday', '9:15AM–6PM'], ['Friday', '9:15AM–6PM'], ['Saturday', '9:15AM–6PM'], ['Sunday', '10AM–5PM']]",2020-01-09 10:00:32 EST,5.0,Great comfortable atmosphere and wonderful and competent message therapists!,False,False,False,False,True
Hogback and Mt.Olga Trailhead Parking,"Hogback and Mt.Olga Trailhead Parking, 7788 VT-9, Marlboro, VT 05301",0x89e0e151da1df789:0x160a6dd4dde5d6f3,42.8537588,-72.79614769999999,['Parking lot'],"[['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours'], ['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours']]",2021-08-08 19:20:54 EDT,5.0,Overnighted here with a 65’ coach towing and it was ok. Easy in and out. A bit of traffic noise but got quiet after 11 pm. Great distillery across the street. Gift shop snd views.,False,False,False,False,True
Whiting Library,"Whiting Library, 117 Main St, Chester, VT 05143",0x89e1b111afaacaa7:0x4ad7ca1f7342c629,43.2636375,-72.5972434,['Public library'],"[['Sunday', 'Closed'], ['Monday', 'Closed'], ['Tuesday', '10AM–6PM'], ['Wednesday', '10AM–6PM'], ['Thursday', 'Closed'], ['Friday', '10AM–6PM'], ['Saturday', '10AM–2PM']]",2016-01-03 10:16:33 EST,5.0,Large horseshoe-arched and smaller well-defined windows highlighted in marble distinguish the town's library. Original building constructed in 1891-1892 and named after local physician Lauren G. Whiting.,False,True,False,False,False
Vintage Steele,"Vintage Steele, 30 Generous St, Brattleboro, VT 05301",0x89e11a325a17d281:0xf83c5a6083445d79,42.8377518,-72.5644509,"['Motorcycle shop', 'Motorcycle parts store', 'Motorcycle repair shop', 'Used motorcycle dealer']","[['Sunday', '9AM–3PM'], ['Monday', '9AM–6PM'], ['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM'], ['Saturday', '9AM–6PM']]",2020-07-16 04:41:38 EDT,5.0,"Ok so I have to say that Josh , the owner is awesome . My gf and I were stranded when my motorcycle key ( and ignition ) broke off in my gas cap . I had called and left a message . He so kindly walked over to where we were and he rescued us . We were at his place ( so kind and his hospitality was a 10 ) for three hours . He offered us use of his home , beautiful yard , etc while he fixed things for me . The dealer was no help . I highly recommend this place , and he didn’t even want payment , just good karma . Please go here , they don’t make people like this very often !! Thanks Vintage Steele",False,False,False,False,True
Shearer Acura,"Shearer Acura, 1301 Shelburne Rd, South Burlington, VT 05403",0x4cca7b8ca1421629:0x19bb297454078fac,44.4344944,-73.21151809999999,"['Acura dealer', 'Car dealer', 'Car finance and loan company', 'Truck dealer', 'Used car dealer', 'Used truck dealer']","[['Sunday', 'Closed'], ['Monday', '8:30AM–6PM'], ['Tuesday', '8:30AM–6PM'], ['Wednesday', '8:30AM–6PM'], ['Thursday', '8:30AM–6PM'], ['Friday', '8:30AM–6PM'], ['Saturday', '9AM–5PM']]",2016-02-18 08:25:12 EST,3.0,"This review is for the service and parts department. I have used this location for the last year for service and I have had issues every single time. Every time I call to schedule an appointment no one answers the phone, I leave a message and no one calls back. I request an appointment online, I get a response 2 weeks later. I text the service dept and get no response. I have even gone as far as calling the service and parts desk while sitting in the waiting room and NO ONE picks up the phone. I usually get stuck sitting in the waiting room for 2 hours because they have no loaners available.",False,False,False,False,True
Portrait Gallery,"Portrait Gallery, 1500 Hinesburg Rd, South Burlington, VT 05403",0x4cca793743d636bb:0xae3746a285c2a8a4,44.428382,-73.155351,"['Photographer', 'Portrait studio', 'Wedding photographer']","[['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '9AM–5PM'], ['Tuesday', '9AM–5PM'], ['Wednesday', '9AM–5PM'], ['Thursday', '9AM–5PM'], ['Friday', '9AM–5PM']]",2018-06-07 13:27:33 EDT,5.0,"WOW! Geoff and Wendy did an INCREDIBLE job with our wedding photos!!! We are still in awe! From the start, we knew that great photos were the most important to us, mostly so that family abroad who could not attend would be able to share in our joy. I will be honest - I am a picky bride when it comes to photos! We searched for a photographer who would fit our needs on a limited budget, but who would also deliver high quality photos. We are SO HAPPY to have had Portrait Gallery for our wedding!!! We will be recommending them to all future couples! Not only was Geoff IMMEDIATELY responsive to our first message (and with every single email he replied within a few hours), he also showed us FULL 1500+ photo albums of previous weddings at our venue. This was important because we wanted someone familiar with the location and hoped to see photos in their original form. We were amazed at the albums he created for other couples and decided to book him and Wendy right away! Throughout the course of the year, Geoff was flexible, answering all our questions, and met with us to go over timeline for the day and photos we were looking for. Geoff and Wendy made sure we had every single photo we wanted. They even went to every table to take photos of guests! When we were ready for photos or guests asked to have their picture taken, Geoff and Wendy dropped what they were doing (even mid-bite) to take photos! Shout-out to Wendy for also helping us get ready in the bridal suite and keep everyone calm! A few (very minor) suggestions would be to ensure the background has items removed prior to photos. Our getting ready pictures had some articles of clothing in the background. In some, my hairpiece was falling out (though I am probably the only one to notice), and I do wish we had more photos of the two of us alone in front of our beautiful ceremony archway, but luckily we have hundreds of others to choose from! Geoff and Wendy will always provide photos unique to your wedding, which we are so grateful for! Thank you Portrait Gallery for capturing our memories!",False,False,False,False,True
United States Postal Service,"United States Postal Service, 320 Pine St, Burlington, VT 05401",0x4cca7aff5fd502af:0x8013bede2aed6448,44.4704092,-73.2138777,"['Post office', 'Logistics service', 'Mailing service']","[['Saturday', '10AM–1PM'], ['Sunday', 'Closed'], ['Monday', '10AM–4PM'], ['Tuesday', '10AM–4PM'], ['Wednesday', '10AM–4PM'], ['Thursday', '10AM–4PM'], ['Friday', '10AM–4PM']]",2018-05-22 14:13:33 EDT,1.0,I have been on hold for 45 damn minutes and I've had to call two other times to get my package re delivered after they messed up twice!! This shirt is literally impossible to get. no one answers the phone calls. no one delivers my package. and the stupid automated message is TERRIBLE.,False,False,False,False,True
Lakeside Electric Inc.,"Lakeside Electric Inc., 2041 Williston Rd, South Burlington, VT 05403",0x4cca7940fe359797:0xa919ba587bc86c2b,44.458971,-73.14651599999999,['Electrician'],"[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]",2020-05-21 10:26:31 EDT,5.0,"Very fast response time, curtious and excellent service. Tony was great. I called Lakeside after leaving a message with another electrician that I had used before never called me back. I will definitely recommend Lakeside to anyone who needs an electrian.",False,False,False,False,True
Lakeside Electric Inc.,"Lakeside Electric Inc., 2041 Williston Rd, South Burlington, VT 05403",0x4cca7940fe359797:0xa919ba587bc86c2b,44.458971,-73.14651599999999,['Electrician'],"[['Friday', 'Open 24 hours'], ['Saturday', 'Open 24 hours'], ['Sunday', 'Open 24 hours'], ['Monday', 'Open 24 hours'], ['Tuesday', 'Open 24 hours'], ['Wednesday', 'Open 24 hours'], ['Thursday', 'Open 24 hours']]",2016-08-12 12:24:41 EDT,5.0,"I called at least 6 people in the ST. Albans area to get some GFI outlets installed., No one called me back! Called Lakeside left a message within 15 minutes they called back and set up a time to do the work. They sent a young man up to do the work. He did a great job. Thanks for taking the time to call back .",False,False,False,False,True
Ignite Church,"Ignite Church, 1037 S Brownell Rd, Williston, VT 05495",0x4cca7903be088ca7:0x907d7c7e3ffea76f,44.449104,-73.12442,"['Christian church', 'Non-denominational church']","[['Friday', 'Closed'], ['Saturday', 'Closed'], ['Sunday', '10AM–12PM'], ['Monday', '8:30AM–4:30PM'], ['Tuesday', '8:30AM–4:30PM'], ['Wednesday', '8:30AM–3PM'], ['Thursday', '8:30AM–4:30PM']]",2020-12-03 18:26:58 EST,5.0,"Grateful for the people at this church. Helped me in my faith for years. If your looking for the perfect church, you won't find it here because there is no such thing. But the Christian message is taught, the worship is beautiful and the rest is up to you.",False,False,False,False,True
ARIS Solutions,"ARIS Solutions, 72 S Main St, White River Junction, VT 05001",0x4cb4ca919f6ccd8d:0x255cdfc688c407d9,43.6474486,-72.3187121,"['Accounting firm', 'Accountant']","[['Wednesday', '8AM–4PM'], ['Thursday', '8AM–4PM'], ['Friday', '8AM–4PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed'], ['Monday', '8AM–4PM'], ['Tuesday', '8AM–4PM']]",2017-09-19 20:37:42 EDT,1.0,Terrible payroll service!! They make mistakes (like don't direct deposit your check because of a computer glitch then send you a check instead that is unsigned) and don't bother to contact you to give you a heads up. They also don't go out of their way to fix the problems (i.e. I have to drive to THEIR office an hour and a half away to get a signature) they won't just cancel the check on their dime (they wanted me to pay to cancel the check!) and fix their mistakes. I have not gotten paid on time multiple times because of their mess ups and they NEVER go out of their way to make it right. This week not getting paid because I had 12pm on my time sheet for midnight instead of 12am. They are idiots. Obviously if start time is 12pm and end time is 7am and I worked 7 hours there should be NO confusion. 12pm is acceptable for midnight. Pm and am is ambiguous for midnight but both can be used. They are awful!!!,False,False,False,False,True
The Vermont Country Store Operations Center,"The Vermont Country Store Operations Center, 401 Innovation Dr, North Clarendon, VT 05759",0x89e03ba9240bda1b:0xc3f47e29efdde49d,43.523031,-72.954475,['Warehouse'],"[['Tuesday', '9AM–6PM'], ['Wednesday', '9AM–6PM'], ['Thursday', '9AM–6PM'], ['Friday', '9AM–6PM'], ['Saturday', '9AM–6PM'], ['Sunday', '9AM–6PM'], ['Monday', '9AM–6PM']]",2019-09-22 19:28:21 EDT,5.0,"When...after much trials, a friend at church, LOL, @church said, ""gO apply there..."" needless to say, although the English dictionary seems limited...they will always have my back AND heart...they DO NOT judge, neither should we, negatively, at least...they ""answered a call...""",False,False,True,False,False
Lakeshore Hand Surgery Denise Durant MD,"Lakeshore Hand Surgery Denise Durant MD, 120 Zephyr Rd, Williston, VT 05495",0x4cca79d6bd62e5b9:0xa553a0e38b251b8b,44.4536152,-73.1088872,['Hand surgeon'],"[['Monday', '8:30AM–4:30PM'], ['Tuesday', '8:30AM–4:30PM'], ['Wednesday', '8:30AM–4:30PM'], ['Thursday', '8:30AM–4:30PM'], ['Friday', '8:30AM–4:30PM'], ['Saturday', 'Closed'], ['Sunday', 'Closed']]",2021-02-01 18:08:51 EST,1.0,"Saw Dr Durrant for treatment for my Dupuytrens. She did not offer the treatment I was looking for. In return for my payment, she indicated she would attempt to find the treatment at VUMC or perhaps Dartmouth. She then did nothing. When I inquired, I was told she’d made a call (and basically that was all she was going to do). My voice message from her staff, which I have retained, basically tells me to go find the treatment on my own. I think she’s very unprofessional.",False,False,False,False,True
Mi Casita,"Mi Casita, 84 N Main St, St Albans City, VT 05478",0x4cca1ac18be6b65d:0x3e3ef1d6125dce63,44.812939,-73.083288,"['Mexican restaurant', 'Restaurant']","[['Monday', 'Closed'], ['Tuesday', '12–9PM'], ['Wednesday', '12–9PM'], ['Thursday', '12–9PM'], ['Friday', '12–10PM'], ['Saturday', '12–10PM'], ['Sunday', 'Closed']]",2013-10-19 17:32:35 EDT,5.0,"My husband and I have been there several times now. The food is really nice, the place is kept very clean and the staff is awesome! We especially love the beef flautas topped with tomatillo sauce. But just about everything we have ever had there has been super good and very fresh. Maybe not ""authentic"" Mexican all the time, but the variety they put into their recipes can not be faulted. The food is simply delicious! So, if you can put rigid expectations on the back burner long enough to try it out, I think you will be very pleasantly surprised and richly rewarded for your openness to new experiences. My husband is a Southern California native who lived in CA for over 42 years and he loved eating Mexican food there. The Mexican food in CA is just like authentic Mexican food because there are many (!) Mexican natives living there. He says that Mi Casita's food is wonderful! Update 10 19 2013: Mi Casita has closed down and will be reopening soon as a sports bar! Big, huge, bummer!!! It was our favorite restaurant in St. Albans. What a letdown!",False,True,False,False,False
